Código - PDM;Título - PDM;Descrição Longa - PDM;Descrição Curta - PDM;Característica - Descrição;Conteúdo - Descrição;Descrição Curta - Conteúdo;Unidade - Descrição;Sigla - Unidade
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;MATERIAL;PLASTICO ABS;ABS;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;COR;PRETO;PT;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;POSICAO UTILIZACAO;DIREITO;DIR;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;POSICAO UTILIZACAO;ESQUERDO;ESQ;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;MODELO CAPACETE APLICACAO;MARK V;;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;FABRICANTE-REFERENCIA;MSA-PC 299842;MSA-PC 299842;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;FABRICANTE-REFERENCIA;MSA-PC 299843;MSA-PC 299843;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TIPO;ANEL;ANEL;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TIPO;ARRUELA;ARRUEL;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TIPO;ELEMENTO ELASTICO;EL ELA;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;11;11;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;13;13;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;14;14;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;194;194;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;230;230;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;260;260;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;300;300;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;32;32;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;38;38;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;400/450;450;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;500/550/600;600;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;D9/D11;D9/D11;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;SN-300;SN300;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;BOWEX;BOWEX;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;EGH;EGH;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;F;F;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;FLEXOMAX GBN;GBN;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;FLEXOMAX GSN;GSN;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;TETEFLEX;TETEFLEX;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;TSCHAN;TSCHAN;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;FABRICANTE;FALK;FALK;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;FABRICANTE;NORD;NORD;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;FABRICANTE;VULKAN;VULKAN;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-11;TETEFLEX D-11;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-13;TETEFLEX D-13;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-15;TETEFLEX D-15;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-17;TETEFLEX D-17;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-3;TETEFLEX D-3;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-4;TETEFLEX D-4;;
