ItemCliente;ItemSmarkets;CodigoPDM;TituloPDM;TextLongoPDM;NCM;Status
ABRACADEIRA T30R I446 14CM PCT 500;ABRACADEIRA T30R I446 14CM PCT 500;ABNME;ABRACADEIRA NAO METALICA;;3926.90.90;PARCIAL
AGENDA ANUAL 2019;AGENDA ANUAL 2019;AGENB;AGENDA;"AGENDA; MODELO ANUAL; CAPA; COR CAPA; MATERIAL MIOLO; DIMENSOES; QUANTIDADE PAGINAS; CARACTERISTICAS ESPECIAIS; FORMA FORNECIMENTO; FABRICANTE-REFERENCIA";4820.10.00;PARCIAL
ALMOFADA P/ CARIMBO N.2 AZUL;ALMOFADA P/ CARIMBO N.2 AZUL;ACARI;ALMOFADA CARIMBO;"ALMOFADA/REFIL CARIMBO; TIPO MANUAL; MODELO CARIMBO NUMERO 2; DIMENSAO 59 X 94MM; COR TINTA AZUL";9612.20.00;TOTAL
APAGADOR MAGNETICO P/ QDO BRANCO;APAGADOR MAGNETICO P/ QDO BRANCO;APAGA;APAGADOR QUADRO;"APAGADOR QUADRO; MATERIAL; COR; BASE; DIMENSOES; APLICACAO QUADRO BRANCO";;PARCIAL
APLICADOR DE COLA QUENTE PEQUENO S-468;APLICADOR DE COLA QUENTE PEQUENO S-468;SEM PDM;SEM PDM;;;BACKLOG
APOIO P/ TECLADO ERGON.;APOIO P/ TECLADO ERGON.;SEM PDM;SEM PDM;;;BACKLOG
APONTADOR C/DEPOSITO I-GLOO 1 FURO634754;APONTADOR C/DEPOSITO I-GLOO 1 FURO634754;APONT;APONTADOR;"APONTADOR; TIPO MANUAL; MATERIAL CORPO PLASTICO; COR AZUL, MATERIAL LAMINA ACO, FORMATO ERGONOMICO; DEPOSITO COM DEPOSITO; FABRICANTE-REFERENCIA MAPED-IGLOO 634754";;TOTAL
APONTADOR PLÁSTICO SIMPLES REDONDO;APONTADOR PLÁSTICO SIMPLES REDONDO;APONT;APONTADOR;"APONTADOR; TIPO MANUAL; MATERIAL CORPO PLASTICO; COR , MATERIAL LAMINA ACO, FORMATO REDONDO; DEPOSITO";;PARCIAL
AQUARELA 12 CORES + 1 PINCEL 01812 ACRIL;AQUARELA 12 CORES + 1 PINCEL 01812 ACRIL;SEM PDM;SEM PDM;;;BACKLOG
ARQUIVO MORTO PAPELÃO PADRÃO;ARQUIVO MORTO PAPELÃO PADRÃO;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL PAPELAO; GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR PARDO; DIMENSOES";4819.10.00;PARCIAL
ARQUIVO MORTO POLIONDA PADRAO    VM;ARQUIVO MORTO POLIONDA PADRAO    VM;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL POLIPROPILENO CORRUGADO (POLIONDA); GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR VERMELHO; DIMENSOES";3923.10.90;PARCIAL
BALÃO CORES SORTIDAS N.9 C/50 HAPPY DAY;BALÃO CORES SORTIDAS N.9 C/50 HAPPY DAY;SEM PDM;SEM PDM;;;BACKLOG
BALÃO CORES SORTIDAS PCT C/50 UNID NR 7;BALÃO CORES SORTIDAS PCT C/50 UNID NR 7;SEM PDM;SEM PDM;;;BACKLOG
BALÃO PALITO LISO CORES SORTIDAS C/25 UN;BALÃO PALITO LISO CORES SORTIDAS C/25 UN;SEM PDM;SEM PDM;;;BACKLOG
BARBANTE 6 FIOS 85% ALGODÃO C/101 MTS;BARBANTE 6 FIOS 85% ALGODÃO C/101 MTS;BARBA;BARBANTE;"BARBANTE; COMPOSICAO 85% ALGODAO; ACABAMENTO; COR; ESPESSURA FIO ÚNICO; NUMERO FIOS 6 FIOS; COMPRIMENTO 101M; PESO; FABRICANTE; REFERENCIA";5204.19.20;PARCIAL
BASTAO COLA QUENTE 11,5MM;BASTAO COLA QUENTE 11,5MM;BCQUN;BASTAO COLA QUENTE;"BASTAO COLA QUENTE; DIAMETRO 11,5MM; COMPRIMENTO; COR BRANCO; FORMA FORNECIMENTO";;PARCIAL
BASTAO COLA QUENTE 7,5MM;BASTAO COLA QUENTE 7,5MM;BCQUN;BASTAO COLA QUENTE;"BASTAO COLA QUENTE; DIAMETRO 7,5MM; COMPRIMENTO; COR BRANCO; FORMA FORNECIMENTO";;PARCIAL
BATERIA 9V ALCALINA;BATERIA 9V ALCALINA;BPELE;BATERIA, PILHA ELETROELETRONICA;"BATERIA, PILHA ELETROELETRONICA; COMPOSICAO QUIMICA ALCALINA; TAMANHO 9V; FORMATO RETANGULAR; TENSAO NOMINAL 9V; CAPACIDADE CORRENTE ; CARGA NAO RECARREGAVEL; FORNECIMENTO CARTELA 1 UNIDADE";8506.10.10;TOTAL
BATERIA LITIO CR 2032 3V;BATERIA LITIO CR 2032 3V;BPELE;BATERIA, PILHA ELETROELETRONICA;"BATERIA, PILHA ELETROELETRONICA; COMPOSICAO QUIMICA LITHIUM; TAMANHO CR2032; FORMATO BOTAO; TENSAO NOMINAL 3V; CAPACIDADE CORRENTE ; CARGA NAO RECARREGAVEL";8506.50.90;TOTAL
BATERIA LITIO CR123A 3V;BATERIA LITIO CR123A 3V;BPELE;BATERIA, PILHA ELETROELETRONICA;"BATERIA, PILHA ELETROELETRONICA; COMPOSICAO QUIMICA LITHIUM; TAMANHO CR123A; FORMATO BOTAO; TENSAO NOMINAL 3V; CAPACIDADE CORRENTE ; CARGA RECARREGAVEL; FORNECIMENTO CARTELA 1 UNIDADE";8506.50.90;TOTAL
BLOCO  ADESIVO PARA RECADOS  38MM X 50MM;BLOCO  ADESIVO PARA RECADOS  38MM X 50MM;ADAVI;ADESIVO AVISO (POST-IT);"ADESIVO AVISO (POST-IT); TAMANHO 38 X 50MM; COR AMARELO; FORNECIMENTO 100 FOLHAS";4821.10.00;TOTAL
BLOCO  ADESIVO PARA RECADOS  GRANDE 76MM;BLOCO  ADESIVO PARA RECADOS  GRANDE 76MM;ADAVI;ADESIVO AVISO (POST-IT);"ADESIVO AVISO (POST-IT); TAMANHO 76 X 76MM; COR ; FORNECIMENTO 100 FOLHAS";4821.10.00;PARCIAL
BLOCO DESENHO A3 BRANCO;BLOCO DESENHO A3 BRANCO;SEM PDM;SEM PDM;;;BACKLOG
BLOCO ECOCORES TEX 180G 230X320MM C/7 C;BLOCO ECOCORES TEX 180G 230X320MM C/7 C;PTEXT;PAPEL TEXTURA;"PAPEL TEXTURA; ACABAMENTO ESTAMPADO; DIMENSAO 230 X 320MM; GRAMATURA 180G/M²; COR 7 CORES; FORNECIMENTO 36 FOLHA";4802.57.90;TOTAL
BLOCO FLIP CHART C/PICOTE  50FL;BLOCO FLIP CHART C/PICOTE  50FL;PFCHA;PAPEL FLIP CHART;"PAPEL FLIP CHART; LARGURA 640MM; COMPRIMENTO 880MM; GRAMATURA 75G/M²; COR BRANCO; FURO 2 FUROS; QUANTIDADE FOLHAS 50";4820.90.00;TOTAL
BLOCO REC POST-IT AZUL C/45 FLS 654 3M -;BLOCO REC POST-IT AZUL C/45 FLS 654 3M -;ADAVI;ADESIVO AVISO (POST-IT);"ADESIVO AVISO (POST-IT); TAMANHO 76 X 76MM; COR AZUL ; FORNECIMENTO 45 FOLHAS; FABRICANTE-REFERENCIA 3M-654";4821.10.00;TOTAL
BLOCO REC POST-IT LARANJA C/ 90 FLS 654;BLOCO REC POST-IT LARANJA C/ 90 FLS 654;ADAVI;ADESIVO AVISO (POST-IT);"ADESIVO AVISO (POST-IT); TAMANHO 76 X 76MM; COR LARANJA ; FORNECIMENTO 90 FOLHAS; FABRICANTE-REFERENCIA 3M-654";4821.10.00;TOTAL
BLOCO REC POST-IT ROSA C/45 FLS 654 3M -;BLOCO REC POST-IT ROSA C/45 FLS 654 3M -;ADAVI;ADESIVO AVISO (POST-IT);"ADESIVO AVISO (POST-IT); TAMANHO 76 X 76MM; COR ROSA ; FORNECIMENTO 45 FOLHAS; FABRICANTE-REFERENCIA 3M-654";4821.10.00;TOTAL
BOBINA DE PAPEL KRAFT;BOBINA DE PAPEL KRAFT 1,2M X 200M X 80G;PKRAF;PAPEL KRAFT;"PAPEL KRAFT; COR NATURAL; GRAMATURA 80G/M²; LARGURA 1,20M; COMPRIMENTO 200M; FORNECIMENTO BOBINA ";;TOTAL
BOBINA PAPEL TÉRMICO 57MMX300M CX C/ 04;BOBINA PAPEL TÉRMICO 57MMX300M CX C/ 04;PTERM;PAPEL TERMICO;"PAPEL TERMICO; APLICACAO RELOGIO PONTO; DIMENSAO 57MM X 300M; COR AMARELO; FORMA FORNECIMENTO CAIXA 4 ROLOS";4811.90.90;TOTAL
BOBINA PAPEL TÉRMICO 80MM X 50M CX C/ 30;BOBINA PAPEL TÉRMICO 80MM X 50M CX C/ 30;PTERM;PAPEL TERMICO;"PAPEL TERMICO; APLICACAO; DIMENSAO 57MM X 300M; COR; FORMA FORNECIMENTO CAIXA 30 ROLOS";4811.90.90;PARCIAL
BOBINA PAPEL TÉRMICO 80MM X 80M CX C/ 20;BOBINA PAPEL TÉRMICO 80MM X 80M CX C/ 20;PTERM;PAPEL TERMICO;"PAPEL TERMICO; APLICACAO; DIMENSAO 80MM X 80M; COR; FORMA FORNECIMENTO CAIXA 20 ROLOS";4811.90.90;PARCIAL
BORRACHA BRANCA COM CAPA;BORRACHA BRANCA COM CAPA;BESCR;BORRACHA ESCOLAR;"BORRACHA ESCOLAR; MATERIAL; FORMATO; COR BRANCO; APLICACAO LAPIS; CAPA COM CAPA; DIMENSOES; FORNECIMENTO";;PARCIAL
BORRACHA BRANCA N 20 RED BOR;BORRACHA BRANCA N 20 RED BOR;BESCR;BORRACHA ESCOLAR;"BORRACHA ESCOLAR; MATERIAL BORRACHA NATURAL; FORMATO RETANGULAR; COR BRANCO; APLICACAO LAPIS; CAPA SEM CAPA; DIMENSOES 40 X 20 X 7MM; FABRICANTE-REFERENCIA RED BOR-BR20";;TOTAL
CADERNO 1/4 ESPIRAL CAPA DURA 96FLS TILI;CADERNO 1/4 ESPIRAL CAPA DURA 96FLS TILI;CADER;CADERNO;"CADERNO; MODELO UNIVERSITARIO; ENCADERNACAO ESPIRAL; TIPO CAPA CAPA DURA; ACABAMENTO CAPA PERSONALIZADO; TIPO FOLHA COM PAUTA; DIMENSOES 140 X 200MM; QUANTIDADE FOLHA 96 FOLHAS";4820.20.00;TOTAL
CADERNO BROCH CD  1/4 AZ 96FL;CADERNO BROCHURA CD  1/4 AZ 96FL;CADER;CADERNO;"CADERNO; MODELO UNIVERSITARIO; ENCADERNACAO BROCHURA COLADO; TIPO CAPA CAPA DURA; ACABAMENTO CAPA LISA AZUL; TIPO FOLHA COM PAUTA; DIMENSOES 140 X 200MM; QUANTIDADE FOLHA 96FOLHAS";4820.20.00;TOTAL
CADERNO CAPA DURA 1/4 100 FOLHAS;CADERNO CAPA DURA 1/4 100 FOLHAS;CADER;CADERNO;"CADERNO; MODELO ; ENCADERNACAO ; TIPO CAPA CAPA DURA;  TIPO FOLHA COM PAUTA; DIMENSOES 140 X 200MM; QUANTIDADE FOLHA 100 FOLHAS";4820.20.00;PARCIAL
CADERNO CAPA DURA 1/4 200 FOLHAS;CADERNO CAPA DURA 1/4 200 FOLHAS;CADER;CADERNO;"CADERNO; MODELO ; ENCADERNACAO ; TIPO CAPA CAPA DURA;  TIPO FOLHA COM PAUTA; DIMENSOES 140 X 200MM; QUANTIDADE FOLHA 200 FOLHAS";4820.20.00;PARCIAL
CADERNO DE PROTOCOLO COM 100 FOLHAS;CADERNO DE PROTOCOLO COM 100 FOLHAS;CADER;CADERNO;"CADERNO; MODELO PROTOCOLO; ENCADERNACAO BROCHURA COLADO; TIPO CAPA CAPA DURA; ACABAMENTO CAPA PERSONALIZADO; TIPO FOLHA COM PAUTA; DIMENSOES ; QUANTIDADE FOLHA 100 FOLHAS";4820.20.00;PARCIAL
CADERNO UNIV  CP DURA 96FL;CADERNO UNIV  CP DURA 96FL;CADER;CADERNO;"CADERNO; MODELO UNIVERSITARIO; ENCADERNACAO ; TIPO CAPA CAPA DURA; ACABAMENTO CAPA ; TIPO FOLHA COM PAUTA; DIMENSOES MM; QUANTIDADE FOLHA 96 FOLHAS";4820.20.00;PARCIAL
CADERNO UNIV CP FLEX 96FL;CADERNO UNIV CP FLEX 96FL;CADER;CADERNO;"CADERNO; MODELO UNIVERSITARIO; ENCADERNACAO ; TIPO CAPA CAPA FLEXIVEL; ACABAMENTO CAPA ; TIPO FOLHA COM PAUTA; DIMENSOES MM; QUANTIDADE FOLHA 96 FOLHAS";4820.20.00;PARCIAL
CADERNO UNIVERSITARIO CAPA DURA 200 FLS;CADERNO UNIVERSITARIO CAPA DURA 200 FLS;CADER;CADERNO;"CADERNO; MODELO UNIVERSITARIO; ENCADERNACAO ; TIPO CAPA CAPA DURA; ACABAMENTO CAPA ; TIPO FOLHA COM PAUTA; DIMENSOES MM; QUANTIDADE FOLHA 200 FOLHAS";4820.20.00;PARCIAL
CAIXA  EM ACRILICO C/ DUPLA FACE;CAIXA  EM ACRILICO C/ DUPLA FACE;SEM PDM;SEM PDM;;;BACKLOG
CAIXA ARQUIVO DELLO COLOR BRANCA;CAIXA ARQUIVO DELLO COLOR BRANCA;ARQUI;ARQUIVO PASTA SUSPENSA/FICHARIO;"ARQUIVO PASTA SUSPENSA; MATERIAL; ACABAMENTO; COR BRANCO; DIMENSAO; TIPO GAVETA; QUANTIDADE GAVETA; PUXADOR; FECHAMENTO; FABRICANTE-REFERENCIA";;PARCIAL
CAIXA ARQUIVO DELLO COLOR PRETA;CAIXA ARQUIVO DELLO COLOR PRETA;ARQUI;ARQUIVO PASTA SUSPENSA/FICHARIO;"ARQUIVO PASTA SUSPENSA; MATERIAL; ACABAMENTO; COR PRETO; DIMENSAO; TIPO GAVETA; QUANTIDADE GAVETA; PUXADOR; FECHAMENTO; FABRICANTE-REFERENCIA";;PARCIAL
CAIXA BOX MULTIUSO DSK316 GDE  AZ;CAIXA BOX MULTIUSO DSK316 GDE  AZ;SEM PDM;SEM PDM;;;BACKLOG
CAIXA CORRESP DUPLA CR MOVEL;CAIXA CORRESP DUPLA CR MOVEL;CCORE;CAIXA CORRESPONDENCIA;"CAIXA CORRESPONDENCIA; TIPO DUPLA MOVEL; MATERIAL ACRILICO; DIMENSAO; COR CRISTAL";3926.10.00;PARCIAL
CAIXA CORRESP DUPLA FIXA CRISTAL;CAIXA CORRESP DUPLA FIXA CRISTAL;CCORE;CAIXA CORRESPONDENCIA;"CAIXA CORRESPONDENCIA; TIPO DUPLA FIXA; MATERIAL ACRILICO; DIMENSAO; COR CRISTAL";3926.10.00;PARCIAL
CAIXA ORGANIZADORA OFFICE 30 LITROS TRAS;CAIXA ORGANIZADORA OFFICE 30 LITROS TRAS;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL POLIPROPILENO; COR TRANSPARENTE; TAMPA COM TAMPA; COR TAMPA TRANSPARENTE; ALTURA 304MM; DIMENSOES 355 X 416MM; TIPO ABERTURA SUPERIOR; TIPO FECHAMENTO 2 TRAVAS; ALCA 2 ALCAS; QUANTIDADE DIVISOES 1";3923.10.90;TOTAL
CAIXA ORGANIZADORA POLIONDA CR PEQ 335X2;CAIXA ORGANIZADORA POLIONDA CR PEQ 335X2;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL POLIONDA; COR CRISTAL; TAMPA COM TAMPA; COR TAMPA CRISTAL; ALTURA 180MM; DIMENSOES 335 X 255MM; TIPO ABERTURA SUPERIOR; TIPO FECHAMENTO ENCAIXE; ALCA 2 ALCAS; QUANTIDADE DIVISOES 1";3923.10.90;TOTAL
CAIXA P/ ARQUIVO MORTO PLASTICA - AMAREL;CAIXA P/ ARQUIVO MORTO PLASTICA - AMAREL;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL PLASTICO; GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR AMARELO; DIMENSOES";3923.10.90;PARCIAL
CAIXA P/ ARQUIVO MORTO PLASTICA - AZUL;CAIXA P/ ARQUIVO MORTO PLASTICA - AZUL;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL PLASTICO; GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR AZUL; DIMENSOES";3923.10.90;PARCIAL
CAIXA P/ ARQUIVO MORTO PLASTICA - BRANCA;CAIXA P/ ARQUIVO MORTO PLASTICA - BRANCA;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL PLASTICO; GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR BRANCO; DIMENSOES";3923.10.90;PARCIAL
CAIXA P/ ARQUIVO MORTO PLASTICA - CINZA;CAIXA P/ ARQUIVO MORTO PLASTICA - CINZA;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL PLASTICO; GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR CINZA; DIMENSOES";3923.10.90;PARCIAL
CAIXA P/ ARQUIVO MORTO PLASTICA - LARANJ;CAIXA P/ ARQUIVO MORTO PLASTICA - LARANJ;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL PLASTICO; GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR LARANJA; DIMENSOES";3923.10.90;PARCIAL
CAIXA P/ ARQUIVO MORTO PLASTICA - PRETA;CAIXA P/ ARQUIVO MORTO PLASTICA - PRETA;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL PLASTICO; GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR PRETO; DIMENSOES";3923.10.90;PARCIAL
